City,Latitude,Longitude,Temperature (max),Humidity,Cloudiness,Wind Speed,Country,Date
Palauig,15.435,119.9045,85.87,67,53,9.37,PH,1619841888
San Patricio,28.017,-97.5169,73.4,94,90,10.36,US,1619841655
Port Shepstone,-30.7414,30.455,62.64,71,99,9.17,ZA,1619841888
Bredasdorp,-34.5322,20.0403,41.0,93,0,2.3,ZA,1619841674
Tucumã,-0.1833,-50.05,75.29,92,99,3.87,BR,1619841889
Ierapetra,35.01,25.7353,75.0,38,0,17.27,GR,1619841889
Talara,-4.5772,-81.2719,70.65,81,99,11.68,PE,1619841889
Ribeira Grande,38.5167,-28.7,59.85,83,100,12.57,PT,1619841659
Río Gallegos,-51.6226,-69.2181,37.4,87,0,10.36,AR,1619841890
Klaksvík,62.2266,-6.589,35.6,75,90,5.75,FO,1619841751
Bonavista,48.6499,-53.1147,36.0,93,100,5.75,CA,1619841890
Along,28.1667,94.7667,90.95,33,60,1.5,IN,1619841891
Biltine,14.5333,20.9167,82.53,12,28,9.17,TD,1619841891
Matamoros,25.5333,-103.25,68.0,42,75,20.71,MX,1619841891
Kyra,49.5776,111.9753,48.76,37,100,7.18,RU,1619841891
Acapulco de Juárez,16.8634,-99.8901,78.91,78,3,3.15,MX,1619841557
Isangel,-19.55,169.2667,84.2,70,75,5.75,VU,1619841734
Wanning,18.8003,110.3967,86.34,63,23,6.91,CN,1619841892
Caraquet,47.7941,-64.9386,39.2,87,100,5.75,CA,1619841892
Los Llanos de Aridane,28.6585,-17.9182,64.4,55,0,9.22,ES,1619841893
Tasiilaq,65.6145,-37.6368,24.8,93,90,6.91,GL,1619841694
Asău,46.4333,26.4,54.0,57,99,3.42,RO,1619841690
Port Lincoln,-34.7333,135.8667,71.15,54,64,22.41,AU,1619841686
Almaznyy,48.0448,40.045,53.6,87,0,2.24,RU,1619841893
Kloulklubed,7.0419,134.2556,84.2,79,75,10.36,PW,1619841893
Castro,-24.7911,-50.0119,49.12,98,30,4.36,BR,1619841497
Fallon,39.4735,-118.7774,73.99,16,75,8.05,US,1619841894
Berlevåg,70.8578,29.0864,33.8,64,97,25.79,NO,1619841783
Sīwah,29.2041,25.5195,78.4,16,1,8.1,EG,1619841894
Kaitangata,-46.2817,169.8464,57.99,52,76,8.01,NZ,1619841715
Jalu,29.0331,21.5482,81.01,15,0,10.8,LY,1619841656
Fortuna,40.5982,-124.1573,53.01,100,1,3.38,US,1619841702
Ilhabela,-23.7781,-45.3581,69.69,78,94,7.72,BR,1619841735
Leh,34.1667,77.5833,43.09,43,21,1.1,IN,1619841895
Dongsheng,39.8161,109.9776,57.58,26,82,8.97,CN,1619841895
Itacoatiara,-3.1431,-58.4442,73.26,96,100,0.98,BR,1619841896
Wattegama,6.7989,81.4808,84.2,89,20,3.44,LK,1619841663
Genhe,50.7833,121.5167,50.16,59,62,2.84,CN,1619841896
Jertih,5.7336,102.4897,87.8,79,40,8.05,MY,1619841896
Kristinestad,62.2743,21.376,33.96,79,56,8.43,FI,1619841897
Kariba,-16.5167,28.8,68.41,83,87,3.51,ZW,1619841897
Hualmay,-11.0964,-77.6139,66.0,90,8,7.16,PE,1619841685
Arecibo,18.4724,-66.7157,73.0,88,2,5.95,PR,1619841897
Tiznit Province,29.5833,-9.5,52.83,76,77,4.61,MA,1619841671
George Town,5.4112,100.3354,89.6,79,20,2.3,MY,1619841630
High Level,58.5169,-117.136,50.0,53,75,3.44,CA,1619841539
Nome,64.5011,-165.4064,24.8,74,90,18.41,US,1619841898
Aden,12.7794,45.0367,83.43,72,65,5.1,YE,1619841685
Kudahuvadhoo,2.6708,72.8944,83.1,69,100,3.29,MV,1619841898
Belaya,49.029,25.7706,55.99,78,89,4.81,UA,1619841899
College,64.8569,-147.8028,37.4,44,75,11.5,US,1619841717
Beringovskiy,63.05,179.3167,23.86,81,91,10.2,RU,1619841780
Avarua,-21.2078,-159.775,78.8,78,75,5.75,CK,1619841677
Siocon,7.7061,122.1353,86.5,69,61,3.71,PH,1619841899
Torbat-e Jām,35.244,60.6225,66.76,53,100,8.32,IR,1619841900
Santa Rosalía,27.3167,-112.2833,74.17,32,0,5.7,MX,1619841900
‘Āhuimanu,21.4447,-157.8378,78.8,83,75,11.5,US,1619841900
Vidalia,32.2177,-82.4135,71.6,43,1,6.91,US,1619841901
Ginda,30.6945,78.4932,77.9,22,33,4.45,IN,1619841901
Pangnirtung,66.1451,-65.7125,29.05,75,31,7.9,CA,1619841901
Cockburn Town,21.4612,-71.1419,78.46,73,69,13.33,TC,1619841902
Oranjemund,-28.55,16.4333,56.28,68,0,9.82,NA,1619841902
Acaraú,-2.8856,-40.12,76.15,87,25,8.86,BR,1619841902
Kalabo,-14.97,22.6814,66.58,86,100,3.89,ZM,1619841750
Talnakh,69.4865,88.3972,30.6,75,10,0.63,RU,1619841754
Poso,-1.3959,120.7524,87.35,62,69,5.88,ID,1619841903
Sioux Lookout,50.1001,-91.917,46.4,31,90,4.61,CA,1619841903
Coyhaique,-45.5752,-72.0662,48.2,93,20,2.3,CL,1619841708
Octeville,49.6261,-1.6435,43.0,93,0,2.3,FR,1619841904
Hirara,24.8,125.2833,82.4,74,75,13.8,JP,1619841904
Bitung,1.4451,125.1824,86.0,66,40,6.91,ID,1619841904
Jizan,17.3333,42.6667,78.8,78,40,3.27,SA,1619841904
Iralaya,15.0,-83.2333,80.02,75,15,10.42,HN,1619841905
Dunedin,-45.8742,170.5036,55.6,53,60,5.35,NZ,1619841675
Kavaratti,10.5669,72.642,85.17,71,27,7.27,IN,1619841905
Kumul,42.8,93.45,84.79,7,32,8.05,CN,1619841732
Kontagora,10.3999,5.4695,80.17,57,39,4.0,NG,1619841906
Henties Bay,-22.116,14.2845,55.99,94,0,3.0,NA,1619841906
Waingapu,-9.6567,120.2641,85.35,69,23,12.28,ID,1619841906
Mar del Plata,-38.0023,-57.5575,60.01,94,0,8.05,AR,1619841625
Ust-Kuyga,70.0167,135.6,33.44,97,67,3.85,RU,1619841907
Touros,-5.1989,-35.4608,73.4,94,0,4.61,BR,1619841907
Salalah,17.0151,54.0924,80.6,78,75,3.44,OM,1619841665
São Gabriel da Cachoeira,-0.1303,-67.0892,71.62,99,100,2.68,BR,1619841907
Karratha,-20.7377,116.8463,91.85,26,0,12.8,AU,1619841908
Kamenka,51.3223,42.7678,55.0,86,100,15.14,RU,1619841908
San Cristobal,7.7669,-72.225,65.01,91,100,1.77,VE,1619841650
Pisco,-13.7,-76.2167,66.2,82,6,3.38,PE,1619841749
East London,-33.0153,27.9116,59.0,67,0,9.22,ZA,1619841622
Gigmoto,13.7796,124.39,85.35,60,9,4.23,PH,1619841909
Egvekinot,66.3167,-179.1667,20.16,86,99,2.8,RU,1619841909
Souillac,-20.5167,57.5167,77.0,78,40,10.36,MU,1619841760
Geraldton,-28.7667,114.6,71.6,28,90,10.36,AU,1619841688
Chipinge,-20.1883,32.6236,60.48,95,97,1.97,ZW,1619841910
Kavieng,-2.5744,150.7967,84.43,68,28,6.82,PG,1619841713
Koumac,-20.5667,164.2833,78.8,63,93,9.98,NC,1619841910
Zholymbet,51.7433,71.7122,47.19,32,2,18.37,KZ,1619841910
Dārāb,28.7519,54.5444,71.17,42,100,0.6,IR,1619841911
Mossamedes,-15.1961,12.1522,75.13,70,0,5.5,AO,1619841690
Fomboni,-12.28,43.7425,82.0,75,13,6.44,KM,1619841911
Lucapa,-8.4192,20.7447,66.36,98,100,4.21,AO,1619841912
Kanganpur,30.7663,74.1231,93.97,22,49,2.3,PK,1619841714
Havøysund,70.9963,24.6622,35.6,93,75,13.8,NO,1619841912
Aklavik,68.2191,-135.0107,33.8,64,100,5.75,CA,1619841739
Vao,-22.6667,167.4833,74.28,74,100,25.08,NC,1619841710
Bubaque,11.2833,-15.8333,79.11,68,20,13.42,GW,1619841682
Ternate,0.8,127.4,84.74,69,72,4.72,ID,1619841913
Matane,48.8286,-67.522,46.4,75,100,8.05,CA,1619841913
Atherton,53.5237,-2.4935,39.0,94,26,3.58,GB,1619841913
Hong Kong,22.2855,114.1577,82.0,61,97,8.01,HK,1619841504
Atuona,-9.8,-139.0333,79.43,68,4,1.86,PF,1619841649
Carnarvon,-24.8667,113.6333,77.0,38,100,8.05,AU,1619841601
Faanui,-16.4833,-151.75,81.45,69,91,9.33,PF,1619841629
San Jerónimo,-11.9472,-75.2829,47.05,81,44,2.01,PE,1619841659
Mandalgovi,45.7625,106.2708,49.01,27,88,19.91,MN,1619841914
Winschoten,53.1442,7.0347,46.99,89,94,5.46,NL,1619841914
Tiksi,71.6872,128.8694,30.15,90,23,5.12,RU,1619841703
Neiafu,-18.65,-173.9833,84.2,74,20,6.91,TO,1619841915
Ormara,25.2088,64.6357,84.52,64,100,12.93,PK,1619841915
Necochea,-38.5473,-58.7368,55.0,84,0,11.01,AR,1619841915
Lompoc,34.6391,-120.4579,50.0,93,90,12.66,US,1619841612
North Bend,43.4065,-124.2243,55.99,100,90,3.44,US,1619841916
Nha Trang,12.25,109.1833,87.8,62,20,4.61,VN,1619841851
Le Vauclin,14.5452,-60.8388,75.2,83,75,1.14,MQ,1619841916
Rjukan,59.8789,8.5941,21.0,86,51,4.72,NO,1619841916
Colares,38.7992,-9.4469,55.0,71,43,17.02,PT,1619841917
Westport,41.1415,-73.3579,46.4,53,1,20.71,US,1619841917
Verkhoyansk,67.5447,133.385,33.91,90,89,1.52,RU,1619841917
Malakal,9.5334,31.6605,76.5,74,63,3.2,SS,1619841918
San Rafael,-34.6177,-68.3301,60.91,56,17,6.82,AR,1619841918
Port-Cartier,50.0334,-66.8654,42.01,87,100,2.51,CA,1619841687
Popondetta,-8.7537,148.2534,89.04,55,20,6.64,PG,1619841918
Gemeente Wageningen,51.9667,5.6667,42.01,93,9,4.61,NL,1619841919
Port Moresby,-9.4431,147.1797,89.6,58,40,17.27,PG,1619841848
Kot Samaba,28.5522,70.4684,97.74,19,0,3.71,PK,1619841919
Poum,-20.2333,164.0167,77.31,68,99,9.04,NC,1619841919
Nemuro,43.3236,145.575,44.6,61,75,13.8,JP,1619841735
Ilulissat,69.2167,-51.1,30.2,80,89,4.61,GL,1619841720
Keflavik,64.0049,-22.5624,32.0,69,20,20.71,IS,1619841920
Port Hedland,-20.3167,118.5667,96.8,16,0,8.05,AU,1619841920
Tuatapere,-46.1333,167.6833,55.99,73,42,4.0,NZ,1619841650
Katangli,51.7102,143.2326,35.02,89,100,18.75,RU,1619841763
Zaysan,47.4667,84.8667,46.22,65,100,16.91,KZ,1619841921
Fort Nelson,58.8053,-122.7002,55.4,33,75,11.5,CA,1619841921
Lakes Entrance,-37.8811,147.981,75.0,48,4,1.01,AU,1619841921
Coutances,49.05,-1.4333,41.0,81,1,3.44,FR,1619841922
Belmonte,-15.8631,-38.8828,71.6,94,75,4.61,BR,1619841770
Filingué,14.3521,3.3168,84.87,19,0,5.64,NE,1619841922
Mareeba,-17.0,145.4333,82.99,57,35,19.57,AU,1619841689
Honiara,-9.4333,159.95,83.88,71,92,2.95,SB,1619841683
Lavrentiya,65.5833,-171.0,23.79,80,70,1.92,RU,1619841674
Rawson,-43.3002,-65.1023,64.02,39,100,5.75,AR,1619841854
Faya,18.3851,42.4509,60.8,55,20,5.3,SA,1619841751
Williams Lake,52.1415,-122.1445,55.4,28,75,13.8,CA,1619841923
Mayskiy,47.6931,40.1025,53.6,87,0,2.24,RU,1619841923
Teahupoo,-17.8333,-149.2667,82.4,74,75,12.66,PF,1619841923
Wanlaweyn,2.6185,44.8938,79.61,74,80,5.35,SO,1619841924
Kortkeros,61.8106,51.5806,41.0,93,75,17.9,RU,1619841924
Taywarah,33.35,64.4167,56.98,40,96,4.97,AF,1619841924
Polovinnoye,54.7914,65.9864,46.81,40,21,9.22,RU,1619841925
Yankton,42.8711,-97.3973,66.99,39,1,10.36,US,1619841925
Inta,66.0317,60.1659,36.86,62,77,13.2,RU,1619841925
Mikuni,36.2171,136.1519,62.6,67,90,10.36,JP,1619841926
Acajutla,13.5928,-89.8275,70.0,100,5,5.12,SV,1619841926
Taoudenni,22.6783,-3.9836,75.16,54,65,4.54,ML,1619841926
Uvira,-3.4067,29.1458,70.25,84,100,2.89,CD,1619841926
Prince Rupert,54.3161,-130.3201,46.4,100,90,6.91,CA,1619841927
Zhigansk,66.7697,123.3711,30.61,91,100,5.75,RU,1619841706
Guadalupe y Calvo,26.1,-106.9667,38.12,88,88,5.57,MX,1619841927
Mehamn,71.0357,27.8492,35.6,69,40,25.32,NO,1619841778
Helong,42.5397,128.9972,50.83,56,100,5.46,CN,1619841928
Mnogovershinnyy,53.9353,139.9242,34.9,81,100,5.19,RU,1619841652
Vestmannaeyjar,63.4427,-20.2734,37.94,78,92,18.66,IS,1619841928
Kangaatsiaq,68.3065,-53.4641,32.59,74,94,3.83,GL,1619841929
Naze,28.3667,129.4833,78.8,73,40,21.85,JP,1619841929
Broome,42.2506,-75.833,36.0,93,90,16.11,US,1619841734
Kumo,10.0447,11.2122,84.38,44,51,9.01,NG,1619841929
Laas,46.6166,10.7002,54.0,93,75,3.44,IT,1619841930
Maha Sarakham,16.3333,103.6667,89.01,70,75,4.61,TH,1619841930
Dover,39.1582,-75.5244,51.8,32,20,23.02,US,1619841915
Hamilton,39.1834,-84.5333,48.2,49,1,4.61,US,1619841341
Pastavy,55.1168,26.8326,36.88,79,59,6.29,BY,1619841930
Hudson Bay,52.85,-102.3842,49.98,77,20,5.88,CA,1619841931
Zyryanka,65.75,150.85,37.83,74,100,6.02,RU,1619841676
Morón,-34.6534,-58.6198,66.0,86,7,1.99,AR,1619841727
Port Macquarie,-31.4333,152.9167,73.0,60,11,8.41,AU,1619841757
La Maddalena,41.2142,9.4083,57.2,94,0,8.05,IT,1619841931
Santiago de Cuba,20.0247,-75.8219,78.8,78,20,3.44,CU,1619841932
Cairns,-16.9167,145.7667,82.99,61,40,17.27,AU,1619841840
Kahului,20.8947,-156.47,80.6,65,40,19.57,US,1619841787
Alta Floresta,-9.8756,-56.0861,70.43,96,100,2.17,BR,1619841651
Te Anau,-45.4167,167.7167,51.35,70,66,1.41,NZ,1619841692
Shingū,33.7333,135.9833,66.2,88,75,10.36,JP,1619841932
Santa Vitória do Palmar,-33.5189,-53.3681,60.93,95,100,7.16,BR,1619841847
Tatarsk,55.219,75.9828,43.81,44,56,20.13,RU,1619841933
Bonthe,7.5264,-12.505,79.14,80,20,3.29,SL,1619841933
Praia,14.9215,-23.5087,71.6,78,75,12.66,CV,1619841742
Yagodnoye,62.55,149.6667,32.23,92,98,1.95,RU,1619841934
Pulaski,34.7668,-92.3001,62.6,72,40,2.86,US,1619841676
Lucea,18.451,-78.1736,78.8,78,20,2.3,JM,1619841934
Tigil',57.8,158.6667,44.53,72,92,7.99,RU,1619841934
Murindó,6.9848,-76.7544,74.07,97,100,1.05,CO,1619841935
Korla,41.7597,86.1469,79.32,11,0,7.0,CN,1619841677
Ulverstone,-41.15,146.1667,66.99,66,100,5.01,AU,1619841935
Arman',59.7,150.1667,37.51,75,100,3.38,RU,1619841784
Gīdolē,5.65,37.3667,55.67,91,98,2.51,ET,1619841936
Nanortalik,60.1432,-45.2371,36.43,71,77,11.3,GL,1619841711
Bereda,43.2686,-7.5406,44.01,100,96,1.01,ES,1619841721
Gushikawa,26.3544,127.8686,80.6,78,40,19.57,JP,1619841936
Campo Maior,-4.8278,-42.1686,73.9,86,84,2.55,BR,1619841936
Shaoyang,27.2315,111.4525,84.63,45,33,6.06,CN,1619841937
Bethel,41.3712,-73.414,45.0,66,27,1.99,US,1619841722
Ocean Springs,30.4113,-88.8278,71.6,83,40,5.75,US,1619841937
Cabreúva,-23.3075,-47.1328,60.8,82,0,14.97,BR,1619841668
Khovd,48.0056,91.6419,72.01,16,100,29.64,MN,1619841651
Corn Island,12.1694,-83.0418,80.87,69,5,11.7,NI,1619841938
Whitehorse,60.7161,-135.0538,46.4,39,75,10.36,CA,1619841938
Luxor,25.6989,32.6421,78.8,14,0,2.3,EG,1619841938
Bulgan,48.8125,103.5347,53.91,44,100,7.65,MN,1619841938
Province of Mantua,45.1667,10.7833,54.0,94,89,1.01,IT,1619841939
Cayenne,4.9333,-52.3333,77.0,94,90,6.17,GF,1619841737
Constitución,-35.3333,-72.4167,55.18,84,100,11.25,CL,1619841668
Mackenzie,55.2999,-123.1698,46.4,61,90,8.05,CA,1619841939
Adrar,20.5022,-10.0711,75.22,47,39,6.49,MR,1619841730
Mana,5.6592,-53.7767,75.27,92,97,6.73,GF,1619841940
São Filipe,14.8961,-24.4956,72.14,75,6,9.35,CV,1619841631
Shaygino,57.7675,46.8618,49.33,91,100,16.42,RU,1619841940
Cottonwood,34.7392,-112.0099,73.4,20,1,6.91,US,1619841940
Songyuan,45.1171,124.8568,59.11,23,92,13.31,CN,1619841941
Russell,32.3502,-85.1999,66.2,77,1,5.75,US,1619841941
Harper,4.375,-7.7169,79.41,81,100,3.83,LR,1619841941
Kiryat Gat,31.61,34.7642,72.0,59,0,6.91,IL,1619841647
Katsuura,35.1333,140.3,72.0,56,95,7.0,JP,1619841698
Jiwani,25.05,61.7417,84.15,66,98,10.0,PK,1619841942
Nyurba,63.2842,118.3319,41.0,82,100,8.41,RU,1619841725
Mbandaka,0.0487,18.2603,71.62,95,100,1.57,CD,1619841943
Tanout,14.9709,8.8879,78.6,7,0,8.84,NE,1619841943
Seybaplaya,19.65,-90.6667,80.6,78,1,5.75,MX,1619841943
Carauari,-4.8828,-66.8958,71.87,98,87,0.18,BR,1619841944
Jinchang,38.4953,102.1739,76.5,9,100,5.21,CN,1619841944
Uyuni,-20.4597,-66.825,38.28,24,12,9.6,BO,1619841944
Zaoyang,32.1272,112.7542,76.01,37,0,3.89,CN,1619841944
Pacific Grove,36.6177,-121.9166,54.0,94,100,3.0,US,1619841742
Youghal,51.95,-7.8506,39.99,92,10,3.0,IE,1619841945
Santa Cruz del Norte,23.1539,-81.9236,77.0,68,20,4.61,CU,1619841945
Madang,-5.2246,145.7966,84.7,71,68,7.78,PG,1619841946
Alofi,-19.0595,-169.9187,77.0,94,100,2.3,NU,1619841436
Alice Springs,-23.7,133.8833,86.0,14,78,5.75,AU,1619841740
Neryungri,56.6709,124.6491,35.37,92,100,0.49,RU,1619841946
San Miguel de Tucumán,-26.8241,-65.2226,57.2,88,12,5.75,AR,1619841946
Konëvo,62.1215,39.3192,35.8,65,19,7.4,RU,1619841947
Road Town,18.4167,-64.6167,78.01,85,0,14.27,VG,1619841947
Safaga,26.7292,33.9365,80.6,13,0,6.91,EG,1619841947
La Providencia,28.7167,-111.5833,80.01,29,0,3.0,MX,1619841948
Puerto Carreño,6.189,-67.4859,74.34,86,80,2.1,CO,1619841948
Alihe,50.5667,123.7167,54.27,49,60,1.72,CN,1619841948
Atar,20.5169,-13.0499,77.88,21,0,6.8,MR,1619841949
Fereydūnkenār,36.6864,52.5225,60.8,100,90,4.61,IR,1619841949
Namatanai,-3.6667,152.4333,84.88,67,81,2.3,PG,1619841634
