City,Latitude,Longitude,Temperature (max),Humidity,Cloudiness,Wind Speed
Saint Paul Harbor,57.79,-152.4072,282.15,53,1,3.6
Cervia,44.2657,12.3427,288.15,88,0,2.57
Todos Santos,23.45,-110.2167,295.37,74,0,0.5
Kaohsiung City,22.6163,120.3133,300.37,65,75,1.03
Hobart,-42.8794,147.3294,292.04,48,75,5.66
Marabu,4.4148,114.0089,302.15,79,20,2.57
Biak,-0.9131,122.8766,302.08,64,65,1.27
Salamiyah,35.0113,37.0532,291.51,35,0,3.16
Yellowknife,62.456,-114.3525,273.71,100,90,2.57
Guerrero Negro,27.9769,-114.0611,294.39,52,0,8.48
Altay,47.8667,88.1167,290.15,55,100,5.38
Mīzan Teferī,6.9833,35.5833,289.86,80,100,1.32
Necochea,-38.5473,-58.7368,285.37,85,0,2.68
Kavaratti,10.5669,72.642,302.33,73,39,3.56
Puerto Escondido,15.85,-97.0667,301.15,69,75,3.43
Bukama,-9.2,25.85,293.52,97,100,1.07
Pozo Colorado,-23.4923,-58.7972,292.08,52,0,2.65
Hong Kong,22.2855,114.1577,299.82,81,98,1.6
San Luis,-33.295,-66.3356,288.18,52,61,2.5
Sørland,67.667,12.6934,275.16,60,100,5.3
Ongandjera,-17.8833,15.0667,295.5,58,99,1.3
Aswān,24.0934,32.907,301.9,14,0,4.19
Kiryat Gat,31.61,34.7642,294.82,59,0,2.06
Codrington,-38.2667,141.9667,295.43,40,100,6.61
Camden,39.7835,-74.9663,285.93,44,51,0.45
Atuona,-9.8,-139.0333,299.46,68,0,0.56
New Norfolk,-42.7826,147.0587,292.04,48,75,5.66
Alofi,-19.0595,-169.9187,297.15,100,100,2.06
Tuatapere,-46.1333,167.6833,285.93,74,73,3.13
San Cristobal,7.7669,-72.225,297.15,100,75,2.06
Khovd,48.0056,91.6419,293.12,20,100,5.85
Gamba,-2.65,10.0,298.41,90,100,1.54
Castro,-24.7911,-50.0119,283.25,97,29,2.55
Lodja,-3.4833,23.4333,294.35,99,100,0.53
Yumen,40.2833,97.2,296.23,7,100,2.01
Mnogovershinnyy,53.9353,139.9242,274.1,83,100,1.78
Port Augusta,-32.5,137.7667,298.15,31,100,8.75
Severo-Kuril'sk,50.6789,156.125,275.06,96,100,9.92
Padang,-0.9492,100.3543,301.15,83,20,0.51
Río Gallegos,-51.6226,-69.2181,278.15,93,0,5.14
Hambantota,6.1241,81.1185,298.15,100,20,1.54
Santo Tomas,14.1079,121.1414,304.82,58,20,2.57
San Patricio,28.017,-97.5169,297.15,94,90,6.17
Tura,25.5198,90.2201,303.16,40,7,0.91
Jalu,29.0331,21.5482,301.43,14,0,4.48
Baillif,16.0202,-61.7463,298.15,78,90,1.54
Along,28.1667,94.7667,297.81,63,93,0.31
Amapá,1.0,-52.0,295.38,98,100,0.53
Pangoa,-12.1167,-73.0,292.16,88,8,1.07
Great Falls,47.5002,-111.3008,296.15,14,1,11.32
Orem,40.2969,-111.6946,297.59,28,1,2.06
Nelson Bay,-32.7167,152.15,297.59,73,40,1.54
Ribeira Grande,38.5167,-28.7,288.68,80,100,4.94
Hīt,33.6416,42.8251,298.64,32,33,6.57
San Jerónimo,-11.9472,-75.2829,281.65,80,42,1.25
Cidreira,-30.1811,-50.2056,293.48,73,0,7.75
Kloulklubed,7.0419,134.2556,304.15,70,75,5.66
Ancud,-41.8697,-73.8203,286.48,100,90,5.66
Bayangol,50.6977,103.4656,277.42,85,100,1.83
Hofn,64.2539,-15.2082,275.18,66,100,4.75
Grand Gaube,-20.0064,57.6608,298.15,79,100,4.02
Ţahţā,26.7693,31.5021,297.15,17,0,3.09
Guhāgar,17.4842,73.1929,301.29,67,100,2.11
Wattegama,6.7989,81.4808,298.15,100,20,1.54
Sola,-13.8833,167.55,299.15,94,90,7.78
Ankang,32.68,109.0172,298.0,51,0,0.41
Maiduguri,11.8464,13.1603,304.98,17,100,2.32
Blagoyevo,63.3667,47.9167,274.47,97,100,2.84
Salalah,17.0151,54.0924,300.15,83,20,2.44
Saint-Philippe,-21.3585,55.7679,297.15,78,0,1.54
Tual,-5.6667,132.75,301.57,74,35,6.0
Dolisie,-4.1997,12.6739,295.72,97,100,1.16
Paamiut,61.994,-49.6678,276.93,71,12,2.98
Kununurra,-15.7667,128.7333,304.15,27,0,4.12
Havelock,34.8791,-76.9013,295.93,45,45,0.89
Safi,32.2994,-9.2372,287.8,74,2,5.33
Thompson,55.7435,-97.8558,273.15,100,90,2.06
Basco,20.4487,121.9702,299.57,73,0,3.0
Shitanjing,39.2342,106.3439,292.65,17,37,2.64
Constitución,-35.3333,-72.4167,286.47,86,100,5.29
Dillon,34.4166,-79.3712,294.82,43,1,2.57
Shawnee,39.05,-95.7669,297.15,31,1,5.14
Longyearbyen,78.2186,15.6401,262.15,62,20,7.72
Bousso,10.4795,16.7117,302.78,45,52,2.09
Worland,44.0169,-107.9554,299.26,15,1,1.48
Rapid Valley,44.0625,-103.1463,300.15,29,1,2.57
Nyimba,-14.5566,30.8149,292.83,82,52,1.29
Jesup,31.6074,-81.8854,297.15,41,20,4.12
Seoul,37.5683,126.9778,286.15,58,75,4.63
Estelle,29.8458,-90.1067,299.15,88,90,2.06
Tiznit Province,29.5833,-9.5,284.98,75,66,2.16
Vila Franca do Campo,37.7167,-25.4333,283.15,81,20,1.54
Mabaruma,8.2,-59.7833,296.07,94,30,1.3
Torbay,47.6666,-52.7314,275.93,100,90,6.69
Emporia,38.4039,-96.1817,295.15,40,1,3.6
Vyazemskiy,47.5378,134.7525,284.18,45,7,4.34
Charlestown,-32.95,151.6667,295.37,73,2,2.79
Novopskov,49.5464,39.0899,285.81,92,100,2.97
Lompoc,34.6391,-120.4579,287.59,93,90,5.14
Muros,42.7762,-9.0603,279.82,92,12,3.56
Lavrentiya,65.5833,-171.0,269.39,70,66,1.12
Bredasdorp,-34.5322,20.0403,278.15,93,0,2.06
Dunedin,-45.8742,170.5036,286.48,58,20,4.47
Moose Factory,51.2585,-80.6094,271.15,69,1,1.54
Bandarbeyla,9.4942,50.8122,301.11,74,100,0.65
Tehachapi,35.1322,-118.449,299.26,23,15,4.47
Zyryanka,65.75,150.85,275.53,82,100,2.15
Sitka,57.0531,-135.33,281.15,81,90,4.12
Brae,60.3964,-1.353,274.15,93,92,2.06
Avarua,-21.2078,-159.775,300.15,74,40,3.09
Korla,41.7597,86.1469,296.96,12,0,2.19
Dicabisagan,17.0818,122.4157,302.41,60,10,1.92
Bluff,-46.6,168.3333,285.93,74,72,3.13
Pedernales,18.0384,-71.744,299.34,69,6,2.17
Coahuayana Viejo,18.7333,-103.6833,296.59,85,63,1.42
Al Bardīyah,31.7561,25.0865,299.08,24,8,4.45
Baberu,25.55,80.7167,308.23,14,3,1.96
Nhulunbuy,-12.2333,136.7667,302.15,65,75,7.2
Bosaso,11.2842,49.1816,302.13,60,84,1.66
Lugovoy,42.9472,72.7644,284.34,89,100,0.44
Matam,15.6175,-13.3303,306.15,27,0,2.06
Liepāja,56.5419,21.0367,270.15,100,0,2.24
Narsaq,60.9167,-46.05,283.15,29,69,12.35
Eydhafushi,5.1033,73.0708,301.73,71,89,2.81
Glenwood Springs,39.5505,-107.3248,301.15,24,24,1.03
Pishin,30.5803,66.9961,293.48,34,34,1.03
Hithadhoo,-0.6,73.0833,301.88,71,98,2.4
Mahébourg,-20.4081,57.7,298.15,78,40,5.14
Bubaque,11.2833,-15.8333,299.23,69,30,6.17
Onguday,50.75,86.15,276.6,99,100,1.73
Muzhi,65.3667,64.6667,268.18,86,7,2.69
Honiara,-9.4333,159.95,302.57,67,97,2.19
Nagato,34.3833,131.2,295.15,56,40,6.69
Acheng,45.5454,126.977,279.15,87,90,3.0
Kem',64.9555,34.5793,271.61,67,100,4.07
Pánuco,22.05,-98.1667,298.15,78,40,4.12
Clyde River,70.4692,-68.5914,265.15,100,1,3.09
Khatanga,71.9667,102.5,273.94,90,100,4.21
Hualmay,-11.0964,-77.6139,292.32,88,7,3.53
Kysyl-Syr,63.8986,122.7617,274.75,98,100,2.98
Palmer,42.1584,-72.3287,284.15,53,75,11.83
Port Lincoln,-34.7333,135.8667,297.86,32,70,9.07
Sechura,-5.5569,-80.8222,295.35,71,32,6.67
Chumikan,54.7183,135.315,273.18,95,100,5.62
Manado,1.487,124.8455,303.15,70,20,1.03
Port-Cartier,50.0334,-66.8654,279.26,100,75,1.54
Mayo,38.8876,-76.5119,286.15,47,1,5.66
Husavik,66.0449,-17.3389,273.15,100,90,4.12
Avera,33.194,-82.5271,294.15,52,1,2.57
Geraldton,-28.7667,114.6,291.15,36,90,7.72
Agadez,19.75,10.25,299.26,7,0,1.94
Myingyan,21.4667,95.3833,298.15,73,75,5.14
Mareeba,-17.0,145.4333,302.04,61,40,5.66
Neuquén,-38.9516,-68.0591,286.15,88,0,1.03
Mossamedes,-15.1961,12.1522,297.18,72,0,3.1
Kisi,9.0833,3.85,298.01,79,37,3.91
Asău,46.4333,26.4,284.26,59,98,2.11
Øksfjord,70.2396,22.3479,272.15,59,75,12.35
Ayorou,14.7308,0.9174,305.05,15,1,3.18
Santa Maria,-29.6842,-53.8069,289.15,77,0,2.06
Quatre Cocos,-20.2078,57.7625,298.15,78,40,5.14
Esperance,-33.8667,121.9,288.15,82,90,3.6
Lac du Bonnet,50.2536,-96.0612,281.48,99,100,1.34
El Real de Santa Maria,8.109,-77.7325,296.79,95,100,0.35
Te Anau,-45.4167,167.7167,284.25,64,35,0.33
Berdigestyakh,62.0989,126.6992,275.21,97,100,2.87
Imeni Poliny Osipenko,52.4201,136.4853,279.02,53,100,4.05
Fort Walton Beach,30.4058,-86.6188,297.15,69,90,2.06
Iqaluit,63.7506,-68.5145,275.15,75,90,5.14
Labuhan,-6.8844,112.2051,301.6,74,56,3.11
Tasiilaq,65.6145,-37.6368,270.15,93,26,3.09
Pauini,-7.7136,-66.9764,295.93,88,79,0.97
Ust'-Omchug,61.15,149.6333,273.69,90,84,0.79
Abhā,18.2164,42.5053,290.15,45,20,3.09
Salinópolis,-0.6136,-47.3561,298.33,86,98,1.98
Camaná,-16.6228,-72.7111,292.32,84,86,3.0
Homer,59.6425,-151.5483,280.15,61,1,7.72
Port Elizabeth,-33.918,25.5701,287.15,67,0,3.6
Arriaga,16.2333,-93.9,300.91,69,18,1.53
Puerto Rondón,6.2805,-71.1,294.91,96,100,0.71
Hasaki,35.7333,140.8333,295.93,68,40,3.09
Svetlaya,46.5389,138.3297,280.28,70,100,4.34
Moerai,-22.4333,-151.3333,297.95,70,75,8.39
Revelstoke,50.9832,-118.2023,288.15,63,90,2.57
Itarema,-2.9248,-39.9167,297.83,87,19,3.1
Katsuura,35.1333,140.3,295.93,68,20,2.57
Zarautz,43.2844,-2.1699,283.71,92,100,0.89
Tucuruí,-3.7661,-49.6725,296.52,97,100,2.2
Waipawa,-41.4122,175.5153,287.15,67,75,7.72
Cootamundra,-34.65,148.0333,295.37,51,0,1.34
Bowen,-20.0167,148.2333,299.15,65,24,7.2
Mollendo,-17.0231,-72.0147,291.98,84,54,3.46
Paso de los Toros,-32.8167,-56.5167,287.45,75,15,3.57
Mbanza-Ngungu,-5.25,14.8667,293.2,97,100,0.22
Diffa,13.3154,12.6113,301.61,11,89,4.28
Yangi Marg`ilon,40.4272,71.7189,290.15,59,48,3.09
Mahibadhoo,3.7833,72.9667,301.49,69,100,2.14
Fortuna,40.5982,-124.1573,287.04,100,75,5.14
Buala,-8.145,159.5921,302.45,66,99,1.71
Paciran,-6.8767,112.3761,301.62,73,56,3.26
Iida,35.5197,137.8207,292.59,55,100,2.68
Tiksi,71.6872,128.8694,272.37,89,21,2.2
Ambilobe,-13.2,49.05,295.59,95,1,1.32
Caravelas,-17.7125,-39.2481,297.8,63,100,5.9
Cabedelo,-6.9811,-34.8339,297.15,94,40,2.57
Abu Kamal,34.4506,40.9171,296.18,33,0,5.5
Fort Nelson,58.8053,-122.7002,288.15,23,75,5.14
Hsinchu,24.8036,120.9686,299.26,59,100,0.45
Sur,22.5667,59.5289,301.71,44,92,2.19
Umluj,25.0213,37.2685,302.97,28,0,4.35
Ostrovnoy,68.0531,39.5131,264.33,81,98,3.0
Aitape,-3.1374,142.3475,302.87,67,100,2.01
Zhigansk,66.7697,123.3711,272.21,95,99,2.56
Taltal,-25.4,-70.4833,290.94,76,25,2.62
Nouadhibou,20.931,-17.0347,292.15,94,0,6.17
Tilichiki,60.4667,166.1,271.88,70,1,6.37
Neftçala,39.3742,49.2472,288.49,83,100,1.96
Coyhaique,-45.5752,-72.0662,282.15,93,100,0.51
Rūdbār,30.15,62.6,296.96,46,76,7.07
Wewak,-3.5534,143.6268,302.53,72,68,2.3
Santa Rosa,14.3122,121.1114,304.82,58,20,2.57
Hamilton,39.1834,-84.5333,285.15,37,1,5.66
Oranjemund,-28.55,16.4333,286.43,71,0,3.88
Esim,4.8699,-2.2405,300.41,80,100,2.83
Vertientes,21.2594,-78.1464,299.15,69,20,3.6
Paraná,-31.732,-60.5238,290.93,76,0,3.51
Nantucket,41.2835,-70.0995,287.15,41,1,12.35
Burnie,-41.0667,145.9167,290.93,62,100,2.24
Vao,-22.6667,167.4833,296.7,71,100,10.39
Mount Isa,-20.7333,139.5,300.15,41,0,5.14
Baiyin,36.5583,104.2081,287.15,35,0,2.0
Nanortalik,60.1432,-45.2371,275.94,72,100,4.79
Lugoba,-6.45,38.3333,294.41,98,84,1.69
At-Bashi,41.1702,75.8106,283.22,81,97,0.49
Bahawalnagar,30.5508,73.3908,302.93,26,94,1.71
San Juan,-31.5375,-68.5364,293.12,43,0,2.63
Devonport,-41.1667,146.35,290.93,70,95,0.45
Tacuarembó,-31.7333,-55.9833,286.35,79,0,1.78
Kavieng,-2.5744,150.7967,302.35,67,24,2.23
San Vicente,-26.6167,-54.1333,286.45,66,0,1.32
Rock Sound,24.9,-76.2,298.6,74,6,2.52
Vaiano,43.949,11.1232,288.15,100,40,1.54
Saint Anthony,45.0205,-93.218,287.59,26,1,3.09
La Macarena,2.1837,-73.7849,294.32,99,94,0.5
Kaitangata,-46.2817,169.8464,287.04,53,100,2.68
Port Hardy,50.6996,-127.4199,284.15,87,75,3.6
Lorengau,-2.0226,147.2712,302.38,71,41,1.11
Ngunguru,-35.6167,174.5,292.04,72,100,1.79
Qaqortoq,60.7167,-46.0333,283.15,29,35,12.35
Saint-Pierre,-21.3393,55.4781,297.15,78,0,1.54
Ketchikan,55.3422,-131.6461,281.15,93,90,5.66
Takoradze,4.8845,-1.7554,300.33,80,100,3.0
Noumea,-22.2763,166.4572,300.15,57,0,6.69
College,64.8569,-147.8028,276.48,44,75,6.17
Saldanha,-33.0117,17.9442,285.15,76,0,1.03
Chifeng,42.2683,118.9636,282.37,24,33,8.31
Brenham,30.1669,-96.3977,295.15,88,40,2.99
Guánica,17.9716,-66.908,298.15,75,5,4.01
Benghazi,32.1167,20.0667,300.17,26,78,5.75
Gizo Government Station,-8.103,156.8419,301.72,73,44,3.13
Matagami,49.7502,-77.6328,269.15,58,90,10.8
Taoudenni,22.6783,-3.9836,297.56,54,90,3.82
La Grande,45.3246,-118.0877,293.15,42,1,2.06
Davila,18.4726,120.5763,303.15,62,40,2.06
Ilulissat,69.2167,-51.1,274.15,64,96,1.54
Valpaços,41.6075,-7.3109,277.59,85,31,0.45
São Félix do Xingu,-6.6447,-51.995,295.51,89,100,1.22
Trojes,41.756,19.962,287.15,88,0,1.03
Bereda,43.2686,-7.5406,278.15,100,94,0.89
Birin,26.8865,88.0718,294.09,41,88,0.94
Miranda,3.2499,-76.2281,292.15,94,75,4.12
Nacala,-14.5428,40.6728,296.23,93,8,1.93
Bethel,41.3712,-73.414,284.15,43,1,4.12
Murud,18.3258,72.965,301.72,71,97,2.92
Hervey Bay,-25.2986,152.8535,293.15,92,99,3.58
Norman Wells,65.282,-126.8329,282.15,34,20,6.69
Nizhnevartovsk,60.9344,76.5531,275.15,93,0,3.0
Vuktyl,63.8567,57.3094,275.4,60,73,5.84
Maceió,-9.6658,-35.7353,298.15,83,75,4.63
Nyurba,63.2842,118.3319,277.13,92,100,3.85
Beyla,8.6833,-8.6333,294.37,89,17,1.65
Kuchera,26.9839,73.9719,303.95,23,11,1.45
Chancay,-11.5714,-77.2672,292.15,82,40,4.12
Pleasantville,39.3898,-74.524,286.48,38,20,6.17
Leningradskiy,69.3833,178.4167,266.19,92,100,10.63
Malartic,48.1335,-78.1328,271.15,59,90,11.32
Morón,-34.6534,-58.6198,292.04,86,7,2.09
Fairbanks,64.8378,-147.7164,276.48,51,90,5.66
Lebu,-37.6167,-73.65,286.57,92,100,9.2
Buin,-33.7333,-70.75,286.48,76,100,2.57
Bitburg,49.9667,6.5333,278.15,70,1,1.54
Cantaura,9.3057,-64.3584,297.39,76,97,1.25
Grevená,40.0845,21.4274,287.15,77,100,3.09
Xunchang,28.4543,104.715,299.59,57,100,0.78
Huilong,31.8111,121.655,293.71,59,0,6.14
Kamaishi,39.2667,141.8833,286.15,58,40,1.54
Bilibino,68.0546,166.4372,265.64,72,78,1.13
Arrondissement de Cahors,44.4167,1.3333,283.71,93,100,3.09
Adrar,20.5022,-10.0711,297.97,44,68,2.16
Saskylakh,71.9167,114.0833,273.5,97,100,3.53
Cockburn Town,21.4612,-71.1419,299.15,69,40,3.6
Port-Gentil,-0.7193,8.7815,300.78,79,100,2.61
Araouane,18.9048,-3.5265,300.37,42,93,9.5
Yatou,37.15,122.3833,286.64,49,0,6.29
Katy,29.7858,-95.8244,295.15,88,90,3.09
Cudahy,33.9606,-118.1853,303.15,40,1,3.31
Ciudad del Carmen,18.6333,-91.8333,303.15,70,20,5.14
Ikryanoye,46.0932,47.7308,289.15,48,0,7.0
Muroto-misakicho,33.2833,134.15,290.15,77,75,1.54
Kumul,42.8,93.45,299.39,9,41,3.73
Tsiroanomandidy,-18.7667,46.0333,289.92,92,0,0.96
Los Dos Caminos,10.4939,-66.8286,298.15,73,75,3.09
Cap Malheureux,-19.9842,57.6142,298.15,79,100,4.02
Bathsheba,13.2167,-59.5167,299.15,65,20,6.17
Byron Bay,-28.65,153.6167,295.15,73,40,6.17
Broome,42.2506,-75.833,277.59,80,90,7.72
León,21.1167,-101.6667,301.15,21,75,4.12
Pagudpud,18.5616,120.7868,303.15,62,40,2.06
Deputatsky,69.3,139.9,269.54,87,99,1.92
Isangel,-19.55,169.2667,302.15,65,75,2.57
Yar-Sale,66.8333,70.8333,264.51,92,61,4.2
Nemuro,43.3236,145.575,282.15,53,75,8.23
Vestmanna,62.1564,-7.1664,275.15,87,75,3.09
Pamekasan,-7.1568,113.4746,302.15,70,79,3.71
Anori,-3.7728,-61.6442,296.22,97,100,0.31
Huarmey,-10.0681,-78.1522,292.95,87,4,3.61
Palma de Mallorca,39.5694,2.6502,291.15,88,40,3.09
Emerald,-23.5333,148.1667,298.15,53,18,3.6
Cayenne,4.9333,-52.3333,299.26,94,0,1.03
Sarangani,5.4033,125.4636,301.64,75,97,7.23
Krasnaya Gora,52.9995,31.6023,283.15,100,61,3.0
Muhafazat Lahij,13.1667,44.5833,297.97,79,69,0.94
San Policarpo,12.1791,125.5072,301.73,65,8,2.74
Sidi Ali,36.0998,0.4206,285.76,88,100,9.56
Kalianget,-7.05,113.9333,302.28,68,82,3.73
Aklavik,68.2191,-135.0107,275.15,60,100,2.57
Xifeng,42.7372,124.7222,284.93,35,100,3.35
Usinsk,65.9939,57.5281,274.89,68,99,6.64
Alice Springs,-23.7,133.8833,300.15,22,67,3.09
Santa Cruz del Sur,20.7147,-77.9956,299.01,68,54,4.92
Arrecife,28.963,-13.5477,290.15,59,0,2.57
Sal Rei,16.1833,-22.9167,294.15,73,40,5.14
Praia,14.9215,-23.5087,295.15,78,20,6.17
Marsh Harbour,26.5412,-77.0636,298.53,73,18,2.24
Virginia Beach,36.8529,-75.978,292.59,45,75,9.77
Tayu,-6.5397,111.0518,302.02,74,78,2.93
Naryan-Mar,67.6713,53.087,272.47,78,100,3.8
Foumban,5.7291,10.9001,292.22,81,99,1.29
Totskoye,52.5248,52.7623,281.42,67,100,4.34
Jiuquan,39.7432,98.5174,296.43,7,100,0.86
Nísia Floresta,-6.0911,-35.2086,298.15,88,0,3.09
Mindelo,16.8901,-24.9804,295.15,68,40,7.2
Värnamo,57.186,14.04,274.82,84,7,1.02
Oyem,1.5995,11.5793,293.15,98,100,0.5
Xining,36.6167,101.7667,287.53,25,85,1.28
Beroroha,-21.6667,45.1667,294.06,79,0,0.71
Sherbakul',54.6316,72.3963,275.15,100,40,3.0
Nakusp,50.2499,-117.8023,291.15,55,32,1.03
Mogadishu,2.0371,45.3438,300.73,71,76,3.5
Najrān,17.4924,44.1277,297.15,29,75,2.83
Nevers,46.9896,3.159,279.82,86,100,1.36
Ahipara,-35.1667,173.1667,291.91,62,32,5.51
Merauke,-8.4667,140.3333,302.53,64,16,4.27
Pevek,69.7008,170.3133,265.8,80,100,7.31
Haimen,23.1935,116.6142,299.15,65,0,2.0
Mackay,-21.15,149.2,299.26,69,50,8.75
Pisco,-13.7,-76.2167,291.48,90,6,0.89
Belyy Yar,53.6039,91.3903,278.15,75,0,1.0
Ixtapa,20.7,-105.2,298.71,78,40,4.63
Cherskiy,68.75,161.3,266.09,81,87,1.01
Nishihara,26.1842,127.7558,299.15,78,75,4.63
Kalabo,-14.97,22.6814,292.89,84,100,1.31
Banda Aceh,5.5577,95.3222,301.62,73,55,3.17
Mandurah,-32.55,115.7,289.82,65,2,2.12
Denizli Province,37.8402,29.0698,284.15,62,0,1.39
Klaksvík,62.2266,-6.589,275.15,87,75,3.09
Faya,18.3851,42.4509,290.15,45,20,3.09
Tarko-Sale,64.9225,77.785,273.71,93,100,2.24
Kinwat,19.6333,78.2,306.4,25,68,3.54
Coari,-4.085,-63.1414,296.25,97,100,0.18
Kimbe,-5.5502,150.1429,305.98,51,19,1.78
Eau Claire,44.8114,-91.4985,286.15,24,1,2.06
North Platte,41.1239,-100.7654,299.15,27,1,4.63
Palana,59.1167,159.9667,272.73,88,86,2.88
Amahai,-3.3333,128.9167,302.62,66,79,2.02
Hay River,60.8156,-115.7999,274.15,80,100,1.54
Talnakh,69.4865,88.3972,270.1,77,12,1.23
Yaan,7.3833,8.5667,299.78,76,84,4.54
Lastoursville,-0.8143,12.7287,295.96,98,100,1.0
Dongli,23.5656,116.8194,299.15,65,0,2.0
Manicoré,-5.8092,-61.3003,298.15,100,0,1.03
Erice,38.037,12.5865,297.04,77,0,5.66
Daru,-9.0763,143.2092,300.48,79,100,5.18
Havre-St-Pierre,50.2334,-63.5986,279.15,87,90,2.57
Talcahuano,-36.7167,-73.1167,287.15,94,90,7.2
Ucluelet,48.9329,-125.5528,284.26,93,90,3.09
Trincomalee,8.5711,81.2335,301.12,76,19,2.03
Samarai,-10.6167,150.6667,300.83,74,21,4.88
Port Macquarie,-31.4333,152.9167,297.04,61,11,0.89
Vallenar,-28.5708,-70.7581,287.37,72,12,0.92
Makakilo City,21.3469,-158.0858,301.15,61,75,5.66
Kieta,-6.2167,155.6333,301.89,74,38,1.85
El Ejido,36.7763,-2.8146,289.26,88,0,0.51
Ndélé,8.4109,20.6473,299.52,54,100,3.06
Kabalo,-6.05,26.9167,293.79,97,100,0.85
Khani,41.9563,42.9566,283.15,93,77,1.54
Letlhakane,-21.4167,25.5833,289.41,67,40,3.42
Souillac,-20.5167,57.5167,298.15,78,40,5.14
Vostok,46.4856,135.8833,284.3,37,1,3.52
Agudos,-22.4692,-48.9875,293.15,68,0,6.69
Natchitoches,31.7668,-93.1335,293.15,83,40,2.57
Klungkung,-8.5333,115.4,301.15,83,20,1.54
Susanville,40.4163,-120.653,298.15,8,1,5.66
Gogrial,8.5332,28.1004,300.47,54,100,2.71
